absolute_risk_gap,native_stratum,pair_id,signed_risk_gap_less_safe_minus_safer
0.5,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1682,0.5
0.40625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1690,0.40625
0.046875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1707,-0.046875
7.1484375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1712,7.1484375
2.84375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1724,2.84375
0.171875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1731,-0.171875
12.296875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1825,12.296875
0.328125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1828,0.328125
1.546875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:1878,1.546875
0.765625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1912,0.765625
0.453125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:1945,-0.453125
1.40625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:1980,1.40625
0.765625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:1981,0.765625
1.15625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2039,-1.15625
0.8125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2053,0.8125
0.71875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2054,-0.71875
1.15625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2114,-1.15625
0.3984375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2139,-0.3984375
0.609375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2158,-0.609375
0.046875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2181,-0.046875
0.234375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2192,-0.234375
0.51953125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2209,-0.51953125
7.0859375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2211,7.0859375
0.875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2226,-0.875
2.37109375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2244,2.37109375
1.234375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2262,1.234375
10.8125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2284,10.8125
0.171875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2331,0.171875
0.21875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2401,0.21875
0.4375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2424,-0.4375
6.265625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2429,6.265625
3.1640625,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2435,3.1640625
2.28125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2470,2.28125
2.814453125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2480,2.814453125
0.0,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2492,0.0
0.0078125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2521,0.0078125
0.5,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2553,0.5
1.7578125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2560,-1.7578125
3.65625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2565,3.65625
0.515625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2570,-0.515625
0.484375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2614,-0.484375
0.171875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2641,0.171875
4.3828125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2645,4.3828125
0.53125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2646,0.53125
8.953125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2653,8.953125
0.7109375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2683,0.7109375
0.0,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2713,0.0
0.953125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:2756,0.953125
6.296875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2763,6.296875
3.748046875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2769,3.748046875
7.46875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2797,7.46875
1.5693359375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2805,1.5693359375
2.99609375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2813,2.99609375
1.2890625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2815,-1.2890625
3.5546875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2820,3.5546875
0.6328125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2832,-0.6328125
0.296875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2839,-0.296875
1.15625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2850,1.15625
0.78125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2863,-0.78125
0.015625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2928,-0.015625
1.078125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2948,-1.078125
2.603515625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:2953,2.603515625
1.4296875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:2987,1.4296875
1.4453125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2991,1.4453125
0.3125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:2998,0.3125
9.71875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3041,9.71875
1.234375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3072,1.234375
3.38671875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3074,3.38671875
1.53125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3078,1.53125
11.34375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3089,11.34375
0.8125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3104,-0.8125
0.140625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3118,-0.140625
0.0625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3153,-0.0625
1.27734375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3203,1.27734375
1.34375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3213,1.34375
4.5703125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3214,4.5703125
4.25,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3249,4.25
0.375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3250,-0.375
1.5625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3283,1.5625
9.6875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3298,9.6875
0.4375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3305,0.4375
0.15625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3335,-0.15625
8.03125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3338,8.03125
1.28125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3361,1.28125
6.921875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3378,6.921875
8.75,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3381,8.75
0.125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3383,0.125
0.78125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3392,-0.78125
5.4375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3397,5.4375
2.00390625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3419,2.00390625
1.46875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3446,1.46875
0.46875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3468,-0.46875
8.578125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3474,8.578125
2.03125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3489,-2.03125
0.9453125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3559,0.9453125
0.7734375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3566,0.7734375
0.625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3579,0.625
2.515625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3581,-2.515625
2.140625,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3603,2.140625
1.75,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3605,1.75
6.03125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3622,6.03125
0.046875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3625,0.046875
0.5625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3629,0.5625
0.0625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3655,-0.0625
0.75,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3663,0.75
0.875,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3704,-0.875
0.65625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3716,0.65625
8.109375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3724,8.109375
2.98046875,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3776,-2.98046875
1.109375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3785,1.109375
0.671875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3787,0.671875
0.078125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3817,0.078125
0.078125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3818,-0.078125
0.0,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3843,0.0
3.009765625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:3847,3.009765625
0.3212890625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3855,-0.3212890625
6.328125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3864,6.328125
8.734375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3870,8.734375
0.75,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3878,-0.75
1.0625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:3916,1.0625
0.234375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:3974,0.234375
11.59375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:3986,11.59375
0.078125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4006,0.078125
6.2734375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:4034,6.2734375
1.0625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4046,1.0625
0.3671875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4068,-0.3671875
1.078125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4070,1.078125
0.390625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4082,-0.390625
2.9140625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4089,-2.9140625
0.046875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4090,-0.046875
0.015625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4099,0.015625
6.453125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:4106,6.453125
0.25,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4138,0.25
0.359375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4139,0.359375
0.15625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4152,0.15625
0.734375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4161,-0.734375
7.046875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:4172,7.046875
0.453125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4178,-0.453125
0.0,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4200,0.0
0.796875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4212,-0.796875
1.3125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4228,1.3125
11.53125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:4247,11.53125
0.5625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4258,0.5625
7.640625,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:4273,7.640625
1.875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4299,1.875
5.9296875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:4326,5.9296875
1.4140625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4372,-1.4140625
0.5,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4389,-0.5
0.5,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4405,-0.5
0.9375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4455,0.9375
0.09375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4471,0.09375
0.421875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4476,-0.421875
0.6171875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4494,-0.6171875
3.77734375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:4504,3.77734375
0.78125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4521,-0.78125
0.359375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4554,-0.359375
0.8125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4582,-0.8125
2.125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4613,2.125
0.21875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4646,0.21875
0.984375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4650,-0.984375
0.28125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4664,0.28125
0.21875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4699,-0.21875
3.0078125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4741,3.0078125
0.390625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4759,-0.390625
1.5546875,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4797,1.5546875
1.15625,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4809,1.15625
6.125,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4810,6.125
2.5849609375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4816,-2.5849609375
6.375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:4823,6.375
0.109375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:4842,-0.109375
2.7734375,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:4847,2.7734375
0.609375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4849,0.609375
0.328125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4853,-0.328125
1.125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4863,-1.125
0.109375,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4866,-0.109375
0.203125,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4878,0.203125
3.0625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4879,3.0625
0.109375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4940,-0.109375
0.234375,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4957,-0.234375
0.40625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4964,-0.40625
0.046875,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:4978,-0.046875
0.21875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:4992,0.21875
0.765625,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:5033,-0.765625
1.46875,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:5058,1.46875
0.890625,L2_category_difference_tied_safety_and_severity,Alpaca2-7B-train.jsonl:5084,0.890625
0.375,L1_no_recorded_safety_field_difference,Alpaca2-7B-train.jsonl:5093,0.375
0.5,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:5114,0.5
1.578125,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:5139,-1.578125
2.921875,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:5174,2.921875
6.55078125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:5185,6.55078125
11.03125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:5218,11.03125
0.078125,L4_safety_boundary_difference,Alpaca2-7B-train.jsonl:5226,-0.078125
1.0,L3_severity_difference_same_safety_state,Alpaca2-7B-train.jsonl:5239,1.0
